 Rank 	 Player Name 	Position 	Team 	 Bye Week 	Best Rank 	 Worst Rank 	 Avg Rank 	 Std Dev 	ADP 
1	Antonio Brown	WR1	PIT	8	1	3	1.2	0.6	1
2	Odell Beckham Jr.	WR2	NYG	8	2	4	2.6	0.8	2
3	Julio Jones	WR3	ATL	11	2	6	3.3	1.268857754	4
4	Todd Gurley	RB1	LA	8	3	11	4.6	2.244994432	3
5	David Johnson	RB2	ARI	9	1	12	5.3	3.163858404	5
6	Adrian Peterson	RB3	MIN	6	5	13	8.5	2.459674775	6
7	Ezekiel Elliott	RB4	DAL	7	5	13	8.5	3.041381265	7
8	A.J. Green	WR4	CIN	9	4	14	8.6	3.322649545	11
9	DeAndre Hopkins	WR5	HOU	9	6	12	8.8	2.227105745	8
10	Lamar Miller	RB5	HOU	9	7	15	10.1	2.256102835	12
11	Dez Bryant	WR6	DAL	7	8	19	11.7	3.742993454	10
12	Allen Robinson	WR7	JAC	5	6	18	11.8	4.354308211	15
13	Rob Gronkowski	TE1	NE	9	7	19	11.8	3.4	9
14	Jamaal Charles	RB6	KC	5	9	24	16.2	4.23792402	16
15	Le'Veon Bell	RB7	PIT	8	10	26	18.2	5.54616985	13
16	Brandon Marshall	WR8	NYJ	11	13	29	18.5	4.566180023	18
17	Devonta Freeman	RB8	ATL	11	14	29	20.4	5.407402334	14
18	Mike Evans	WR9	TB	6	14	31	20.9	4.7	24
19	Jordy Nelson	WR10	GB	4	13	27	21.1	4.763402146	17
20	Alshon Jeffery	WR11	CHI	9	13	33	21.3	5.348831648	23
21	Mark Ingram	RB9	NO	5	11	34	21.7	6.664082833	21
22	Eddie Lacy	RB10	GB	4	14	30	22.4	5.953150426	22
23	Doug Martin	RB11	TB	6	14	30	22.9	5.557877293	20
24	Amari Cooper	WR12	OAK	10	10	34	23.7	6.943342135	28
25	Brandin Cooks	WR13	NO	5	14	35	23.9	6.236184731	29
26	T.Y. Hilton	WR14	IND	10	17	38	25	5.403702434	34
27	Keenan Allen	WR15	SD	11	9	40	26.2	8.704022059	25
28	LeSean McCoy	RB12	BUF	10	19	37	26.3	4.733920151	26
29	Sammy Watkins	WR16	BUF	10	18	40	29.2	7.507329752	30
30	C.J. Anderson	RB13	DEN	11	20	43	30.1	6.549045732	32
31	Latavius Murray	RB14	OAK	10	20	46	33.3	7.92527602	39
32	Demaryius Thomas	WR17	DEN	11	27	48	34	5.761944116	31
33	Cam Newton	QB1	CAR	7	18	53	34.5	11.43022309	19
34	Carlos Hyde	RB15	SF	8	21	72	39.9	13.92443895	35
35	Randall Cobb	WR18	GB	4	35	50	40.3	4.124318125	45
36	Jeremy Maclin	WR19	KC	5	30	54	40.6	7.269112738	49
37	Aaron Rodgers	QB2	GB	4	27	55	40.8	9.744742172	27
38	Thomas Rawls	RB16	SEA	5	29	56	41.2	8.704022059	33
39	Jordan Reed	TE2	WAS	9	33	57	41.8	7.896834809	38
40	Jarvis Landry	WR20	MIA	8	22	62	44.1	11.59698237	44
41	Russell Wilson	QB3	SEA	5	30	67	44.1	12.13630916	37
42	Jeremy Hill	RB17	CIN	9	27	64	44.8	10.74057727	53
43	Eric Decker	WR21	NYJ	11	35	58	45.1	8.215229759	50
44	Doug Baldwin	WR22	SEA	5	34	73	47.6	10.36532682	48
45	Matt Forte	RB18	NYJ	11	22	80	47.9	15.35219854	36
46	Donte Moncrief	WR23	IND	10	36	69	49.3	11.72220116	64
47	Greg Olsen	TE3	CAR	7	40	59	49.3	6.588626564	41
48	Andrew Luck	QB4	IND	10	35	69	50.6	11.7320075	42
49	Jonathan Stewart	RB19	CAR	7	41	74	50.8	10.25475499	47
50	DeMarco Murray	RB20	TEN	13	35	83	54	12.96919427	46
51	Drew Brees	QB5	NO	5	40	74	54.9	12.26743657	51
52	Frank Gore	RB21	IND	10	41	73	54.9	8.478797084	76
53	Larry Fitzgerald	WR24	ARI	9	43	64	55.4	6.666333325	60
54	Michael Floyd	WR25	ARI	9	32	83	56.2	17.45164749	56
55	Kelvin Benjamin	WR26	CAR	7	32	73	56.6	12.91665591	43
56	Giovani Bernard	RB22	CIN	9	38	73	58.2	13.2196823	77
57	Jeremy Langford	RB23	CHI	9	36	82	58.5	13.8076066	63
58	Golden Tate	WR27	DET	10	39	110	60.5	23.07054399	54
59	Melvin Gordon	RB24	SD	11	47	89	60.6	14.50655024	69
60	Julian Edelman	WR28	NE	9	39	90	61	15.08641773	40
61	Ryan Mathews	RB25	PHI	4	35	90	61.2	14.37915157	55
62	Jordan Matthews	WR29	PHI	4	48	91	63.4	14.44437607	68
63	Travis Kelce	TE4	KC	5	45	82	64.9	12.3971771	57
64	Tyler Lockett	WR30	SEA	5	25	90	66.5	17.44849564	85
65	Allen Hurns	WR31	JAC	5	46	84	68.2	10.46709129	71
66	John Brown	WR32	ARI	9	42	88	68.7	16.45630578	75
67	Duke Johnson	RB26	CLE	13	51	100	68.7	13.40186554	78
68	Delanie Walker	TE5	TEN	13	50	86	69.7	9.33862945	62
69	Emmanuel Sanders	WR33	DEN	11	57	93	71.6	13.02459212	66
