"RANK, PLAYER",POS,TEAM,BYE,POS RK
1.ÊAntonio Brown,WR,PIT,8,WR1
2.ÊOdell Beckham Jr.,WR,NYG,8,WR2
3.ÊAdrian Peterson,RB,MIN,6,RB1
4.ÊJulio Jones,WR,ATL,11,WR3
5.ÊTodd Gurley,RB,LA,8,RB2
6.ÊEzekiel Elliott,RB,DAL,7,RB3
7.ÊDeAndre Hopkins,WR,HOU,9,WR4
8.ÊDavid Johnson,RB,ARI,9,RB4
9.ÊDevonta Freeman,RB,ATL,11,RB5
10.ÊDez Bryant,WR,DAL,7,WR5
11.ÊRob Gronkowski,TE,NE,9,TE1
12.ÊLe'Veon Bell,RB,PIT,8,RB6
13.ÊA.J. Green,WR,CIN,9,WR6
14.ÊLamar Miller,RB,HOU,9,RB7
15.ÊAllen Robinson,WR,JAC,5,WR7
16.ÊDoug Martin,RB,TB,6,RB8
17.ÊJordy Nelson,WR,GB,4,WR8
18.ÊMark Ingram,RB,NO,5,RB9
19.ÊBrandon Marshall,WR,NYJ,11,WR9
20.ÊEddie Lacy,RB,GB,4,RB10
21.ÊAlshon Jeffery,WR,CHI,9,WR10
22.ÊJamaal Charles,RB,KC,5,RB11
23.ÊMike Evans,WR,TB,6,WR11
24.ÊSammy Watkins,WR,BUF,10,WR12
25.ÊLeSean McCoy,RB,BUF,10,RB12
26.ÊBrandin Cooks,WR,NO,5,WR13
27.ÊThomas Rawls,RB,SEA,5,RB13
28.ÊJordan Reed,TE,WAS,9,TE2
29.ÊAmari Cooper,WR,OAK,10,WR14
30.ÊDemaryius Thomas,WR,DEN,11,WR15
31.ÊKeenan Allen,WR,SD,11,WR16
32.ÊJonathan Stewart,RB,CAR,7,RB14
33.ÊCarlos Hyde,RB,SF,8,RB15
34.ÊC.J. Anderson,RB,DEN,11,RB16
35.ÊCam Newton,QB,CAR,7,QB1
36.ÊT.Y. Hilton,WR,IND,10,WR17
37.ÊJulian Edelman,WR,NE,9,WR18
38.ÊDoug Baldwin,WR,SEA,5,WR19
39.ÊJarvis Landry,WR,MIA,8,WR20
40.ÊMatt Forte,RB,NYJ,11,RB17
41.ÊJeremy Hill,RB,CIN,9,RB18
42.ÊJeremy Maclin,WR,KC,5,WR21
43.ÊRandall Cobb,WR,GB,4,WR22
44.ÊEric Decker,WR,NYJ,11,WR23
45.ÊGolden Tate,WR,DET,10,WR24
46.ÊKelvin Benjamin,WR,CAR,7,WR25
47.ÊDonte Moncrief,WR,IND,10,WR26
48.ÊGreg Olsen,TE,CAR,7,TE3
49.ÊAaron Rodgers,QB,GB,4,QB2
50.ÊRussell Wilson,QB,SEA,5,QB3
51.ÊEmmanuel Sanders,WR,DEN,11,WR27
52.ÊMichael Floyd,WR,ARI,9,WR28
53.ÊDeVante Parker,WR,MIA,8,WR29
54.ÊLarry Fitzgerald,WR,ARI,9,WR30
55.ÊLatavius Murray,RB,OAK,10,RB19
56.ÊRyan Mathews,RB,PHI,4,RB20
57.ÊDeMarco Murray,RB,TEN,13,RB21
58.ÊJeremy Langford,RB,CHI,9,RB22
59.ÊMatt Jones,RB,WAS,9,RB23
60.ÊDelanie Walker,TE,TEN,13,TE4
61.ÊAndrew Luck,QB,IND,10,QB4
62.ÊArian Foster,RB,MIA,8,RB24
63.ÊMelvin Gordon,RB,SD,11,RB25
64.ÊDuke Johnson Jr.,RB,CLE,13,RB26
65.ÊDanny Woodhead,RB,SD,11,RB27
66.ÊFrank Gore,RB,IND,10,RB28
67.ÊRashad Jennings,RB,NYG,8,RB29
68.ÊDrew Brees,QB,NO,5,QB5
69.ÊBen Roethlisberger,QB,PIT,8,QB6
70.ÊJohn Brown,WR,ARI,9,WR31
71.ÊJordan Matthews,WR,PHI,4,WR32
72.ÊDeSean Jackson,WR,WAS,9,WR33
73.ÊDeAngelo Williams,RB,PIT,8,RB30
74.ÊT.J. Yeldon,RB,JAC,5,RB31
75.ÊGiovani Bernard,RB,CIN,9,RB32
76.ÊAmeer Abdullah,RB,DET,10,RB33
77.ÊChris Ivory,RB,JAC,5,RB34
78.ÊCarson Palmer,QB,ARI,9,QB7
79.ÊTom Brady,QB,NE,9,QB8
80.ÊMarvin Jones,WR,DET,10,WR34
81.ÊAllen Hurns,WR,JAC,5,WR35
82.ÊMichael Crabtree,WR,OAK,10,WR36
83.ÊTyler Lockett,WR,SEA,5,WR37
84.ÊKevin White,WR,CHI,9,WR38
85.ÊSterling Shepard,WR,NYG,8,WR39
86.ÊTorrey Smith,WR,SF,8,WR40
87.ÊStefon Diggs,WR,MIN,6,WR41
88.ÊEli Manning,QB,NYG,8,QB9
89.ÊBlake Bortles,QB,JAC,5,QB10
90.ÊPhilip Rivers,QB,SD,11,QB11
91.ÊTravis Kelce,TE,KC,5,TE5
92.ÊCoby Fleener,TE,NO,5,TE6
93.ÊTyler Eifert,TE,CIN,9,TE7
94.ÊDerrick Henry,RB,TEN,13,RB35
95.ÊBilal Powell,RB,NYJ,11,RB36
96.ÊDevin Funchess,WR,CAR,7,WR42
97.ÊJosh Gordon,WR,CLE,13,WR43
98.ÊWillie Snead,WR,NO,5,WR44
99.ÊVincent Jackson,WR,TB,6,WR45
100.ÊJay Ajayi,RB,MIA,8,RB37
101.ÊTavon Austin,WR,LA,8,WR46
102.ÊTheo Riddick,RB,DET,10,RB38
103.ÊJustin Forsett,RB,BAL,8,RB39
104.ÊCharles Sims,RB,TB,6,RB40
105.ÊIsaiah Crowell,RB,CLE,13,RB41
106.ÊJames Starks,RB,GB,4,RB42
107.ÊLeGarrette Blount,RB,NE,9,RB43
108.ÊTevin Coleman,RB,ATL,11,RB44
109.ÊGary Barnidge,TE,CLE,13,TE8
110.ÊZach Ertz,TE,PHI,4,TE9
111.ÊAntonio Gates,TE,SD,11,TE10
112.ÊCorey Coleman,WR,CLE,13,WR47
113.ÊTravis Benjamin,WR,SD,11,WR48
114.ÊMichael Thomas,WR,NO,5,WR49
115.ÊSteve Smith Sr.,WR,BAL,8,WR50
116.ÊMarkus Wheaton,WR,PIT,8,WR51
117.ÊPhillip Dorsett,WR,IND,10,WR52
118.ÊSammie Coates,WR,PIT,8,WR53
119.ÊChris Hogan,WR,NE,9,WR54
120.ÊKamar Aiken,WR,BAL,8,WR55
121.ÊBruce Ellington,WR,SF,8,WR56
122.ÊRishard Matthews,WR,TEN,13,WR57
123.ÊDevontae Booker,RB,DEN,11,RB45
124.ÊDarren Sproles,RB,PHI,4,RB46
125.ÊJerick McKinnon,RB,MIN,6,RB47
126.ÊDeAndre Washington,RB,OAK,10,RB48
127.ÊMohamed Sanu,WR,ATL,11,WR58
128.ÊWill Fuller,WR,HOU,9,WR59
129.ÊShane Vereen,RB,NYG,8,RB49
130.ÊJames White,RB,NE,9,RB50
131.ÊTyrod Taylor,QB,BUF,10,QB12
132.ÊTony Romo,QB,DAL,7,QB13
133.ÊKirk Cousins,QB,WAS,9,QB14
134.ÊDerek Carr,QB,OAK,10,QB15
135.ÊSpencer Ware,RB,KC,5,RB51
136.ÊJulius Thomas,TE,JAC,5,TE11
137.ÊZach Miller,TE,CHI,9,TE12
138.ÊMartellus Bennett,TE,NE,9,TE13
139.ÊJimmy Graham,TE,SEA,5,TE14
140.ÊEric Ebron,TE,DET,10,TE15
141.ÊSeattle Seahawks,DST,SEA,5,DST1
142.ÊDenver Broncos,DST,DEN,11,DST2
143.ÊCarolina Panthers,DST,CAR,7,DST3
144.ÊCincinnati Bengals,DST,CIN,9,DST4
145.ÊHouston Texans,DST,HOU,9,DST5
146.ÊKansas City Chiefs,DST,KC,5,DST6
147.ÊArizona Cardinals,DST,ARI,9,DST7
148.ÊStephen Gostkowski,K,NE,9,K1
149.ÊNew York Jets,DST,NYJ,11,DST8
150.ÊGreen Bay Packers,DST,GB,4,DST9
151.ÊOakland Raiders,DST,OAK,10,DST10
152.ÊSteven Hauschka,K,SEA,5,K2
153.ÊDan Bailey,K,DAL,7,K3
154.ÊJustin Tucker,K,BAL,8,K4
155.ÊAdam Vinatieri,K,IND,10,K5
156.ÊMason Crosby,K,GB,4,K6
157.ÊGraham Gano,K,CAR,7,K7
158.ÊBlair Walsh,K,MIN,6,K8
159.ÊChandler Catanzaro,K,ARI,9,K9
160.ÊMatt Prater,K,DET,10,K10
161.ÊJavorius Allen,RB,BAL,8,RB52
162.ÊTerrance West,RB,BAL,8,RB53
163.ÊC.J. Prosise,RB,SEA,5,RB54
164.ÊChris Johnson,RB,ARI,9,RB55
165.ÊTyler Boyd,WR,CIN,9,WR60
166.ÊMike Wallace,WR,BAL,8,WR61
167.ÊLaquon Treadwell,WR,MIN,6,WR62
168.ÊJosh Doctson,WR,WAS,9,WR63
169.ÊMarcus Mariota,QB,TEN,13,QB16
170.ÊMatthew Stafford,QB,DET,10,QB17
171.ÊAndy Dalton,QB,CIN,9,QB18
172.ÊChristine Michael,RB,SEA,5,RB56
173.ÊJordan Howard,RB,CHI,9,RB57
174.ÊJason Witten,TE,DAL,7,TE16
175.ÊDwayne Allen,TE,IND,10,TE17
176.ÊWendell Smallwood,RB,PHI,4,RB58
177.ÊPaul Perkins,RB,NYG,8,RB59
178.ÊKenneth Dixon,RB,BAL,8,RB60
179.ÊJaelen Strong,WR,HOU,9,WR64
180.ÊNelson Agholor,WR,PHI,4,WR65
181.ÊDorial Green-Beckham,WR,PHI,4,WR66
182.ÊBreshad Perriman,WR,BAL,8,WR67
183.ÊPierre Garcon,WR,WAS,9,WR68
184.ÊReggie Bush,RB,BUF,10,RB61
