Rank,Player,Value,Pos,Rank_avg_fp,Rank_fp
1,Todd Gurley,8.629,RB,4.40,4
2,Antonio Brown,8.399,WR,1.20,1
3,David Johnson,8.059,RB,5.40,5
4,Ezekiel Elliott,7.891,RB,8.40,6
5,Odell Beckham Jr.,7.651,WR,2.60,2
6,Julio Jones,7.490,WR,3.30,3
7,Adrian Peterson,7.326,RB,8.60,8
8,Lamar Miller,7.279,RB,10.00,10
9,Jamaal Charles,7.201,RB,16.20,14
10,Le'Veon Bell,6.663,RB,18.00,15
11,Devonta Freeman,6.468,RB,20.60,17
12,Mark Ingram,6.205,RB,21.70,21
13,Eddie Lacy,6.071,RB,22.90,22
14,Doug Martin,6.054,RB,22.90,23
15,A.J. Green,5.919,WR,8.60,7
16,LeSean McCoy,5.826,RB,26.30,27
17,DeAndre Hopkins,5.738,WR,8.70,9
18,Rob Gronkowski,5.603,TE,11.70,12
19,Dez Bryant,5.597,WR,11.50,11
20,Allen Robinson,5.211,WR,12.00,13
21,C.J. Anderson,5.082,RB,29.60,30
22,Brandon Marshall,4.950,WR,18.40,16
23,Latavius Murray,4.889,RB,34.10,32
24,Jordy Nelson,4.758,WR,20.90,18
25,Mike Evans,4.711,WR,20.90,19
26,Thomas Rawls,4.659,RB,39.10,34
27,Carlos Hyde,4.513,RB,39.80,35
28,Alshon Jeffery,4.494,WR,21.60,20
29,Cam Newton,4.475,QB,34.50,33
30,Jeremy Hill,4.406,RB,45.80,43
31,Amari Cooper,4.226,WR,23.80,24
32,Brandin Cooks,4.222,WR,23.90,25
33,Matt Forte,4.135,RB,47.00,44
34,Jonathan Stewart,4.091,RB,50.30,48
35,T.Y. Hilton,4.029,WR,24.90,26
36,Keenan Allen,4.023,WR,26.90,28
37,Sammy Watkins,4.022,WR,29.40,29
38,Demaryius Thomas,3.996,WR,33.50,31
39,Frank Gore,3.924,RB,55.00,51
40,DeMarco Murray,3.903,RB,55.50,52
41,Aaron Rodgers,3.733,QB,40.80,38
42,Giovani Bernard,3.732,RB,58.90,56
43,Jordan Reed,3.436,TE,41.80,39
44,Jeremy Langford,3.385,RB,61.50,58
45,Ryan Mathews,3.362,RB,61.50,59
46,Melvin Gordon,3.354,RB,62.80,63
47,Russell Wilson,3.343,QB,44.10,40
48,Randall Cobb,3.291,WR,40.30,36
49,Duke Johnson,3.282,RB,65.40,65
50,Jeremy Maclin,3.220,WR,40.40,37
51,Greg Olsen,3.066,TE,48.90,46
52,Jarvis Landry,2.991,WR,44.50,41
53,Eric Decker,2.900,WR,45.30,42
54,Doug Baldwin,2.854,WR,47.60,45
55,Rashad Jennings,2.791,RB,74.10,72
56,Donte Moncrief,2.767,WR,49.10,47
57,Larry Fitzgerald,2.745,WR,56.20,53
58,Arian Foster,2.735,RB,76.10,75
59,Michael Floyd,2.650,WR,57.20,54
60,Kelvin Benjamin,2.646,WR,57.30,55
61,Golden Tate,2.624,WR,60.20,57
62,Matt Jones,2.623,RB,62.56,77
63,Ameer Abdullah,2.622,RB,81.70,80
64,Travis Kelce,2.426,TE,65.30,64
65,Julian Edelman,2.425,WR,61.90,60
66,John Brown,2.410,WR,62.10,61
67,Andrew Luck,2.343,QB,50.60,49
68,Jordan Matthews,2.298,WR,62.20,62
69,Tyler Lockett,2.230,WR,65.90,66
70,Delanie Walker,2.187,TE,70.50,68
71,Chris Ivory,2.180,RB,82.60,81
72,Allen Hurns,2.157,WR,68.40,67
73,Danny Woodhead,2.123,RB,84.10,82
74,Drew Brees,2.093,QB,54.90,50
75,Coby Fleener,2.088,TE,79.90,79
76,LeGarrette Blount,2.043,RB,89.70,86
77,Julius Thomas,1.951,TE,90.80,87
78,Devante Parker,1.936,WR,72.20,69
79,Emmanuel Sanders,1.890,WR,72.70,70
80,DeAngelo Williams,1.833,RB,90.00,94
81,Isaiah Crowell,1.769,RB,101.60,95
82,Marvin Jones,1.658,WR,74.30,73
83,DeSean Jackson,1.635,WR,76.30,76
84,Michael Crabtree,1.617,WR,87.10,84
