,Name,Taken,Pos,FantasyPros,ESPN,,Name,Taken,Pos,FantasyPros,ESPN,,Name,Taken,Pos,FantasyPros,ESPN,,Name,Taken,Pos,FantasyPros,ESPN
29,Cam Newton,,QB1,34.5,35,1,Todd Gurley,,RB1,4.4,5,18,Rob Gronkowski,,TE1,11.7,11,2,Antonio Brown,,WR1,1.2,1
41,Aaron Rodgers,,QB2,40.8,49,3,David Johnson,,RB2,5.4,8,43,Jordan Reed,,TE2,41.8,28,5,Odell Beckham Jr.,,WR2,2.6,2
47,Russell Wilson,,QB3,44.1,50,4,Ezekiel Elliott,,RB3,8.4,6,51,Greg Olsen,,TE3,48.9,48,6,Julio Jones,,WR3,3.3,4
67,Andrew Luck,,QB4,50.6,61,7,Adrian Peterson,,RB4,8.6,3,64,Travis Kelce,,TE4,65.3,91,15,A.J. Green,,WR4,8.6,13
74,Drew Brees,,QB5,54.9,68,8,Lamar Miller,,RB5,10,14,70,Delanie Walker,,TE5,70.5,60,17,DeAndre Hopkins,,WR5,8.7,7
94,Ben Roethlisberger,,QB6,73.7,69,9,Jamaal Charles,,RB6,16.2,22,75,Coby Fleener,,TE6,79.9,92,19,Dez Bryant,,WR6,11.5,10
95,Carson Palmer,,QB7,75.2,78,10,Le'Veon Bell,,RB7,18,12,77,Julius Thomas,,TE7,90.8,136,20,Allen Robinson,,WR7,12,15
96,Eli Manning,,QB8,78.8,88,11,Devonta Freeman,,RB8,20.6,9,87,Gary Barnidge,,TE8,95.8,109,22,Brandon Marshall,,WR8,18.4,19
97,Philip Rivers,,QB9,86.6,90,12,Mark Ingram,,RB9,21.7,18,88,Zach Ertz,,TE9,98.7,110,24,Jordy Nelson,,WR9,20.9,17
99,Blake Bortles,,QB10,89.4,89,13,Eddie Lacy,,RB10,22.9,20,89,Antonio Gates,,TE10,102.1,111,25,Mike Evans,,WR10,20.9,23
100,Tom Brady,,QB11,92.7,79,14,Doug Martin,,RB11,22.9,16,109,Tyler Eifert,,TE11,113.1,93,28,Alshon Jeffery,,WR11,21.6,21
104,Tyrod Taylor,,QB12,109.4,131,16,LeSean McCoy,,RB12,26.3,25,116,Dwayne Allen,,TE12,120.5,175,31,Amari Cooper,,WR12,23.8,29
106,Derek Carr,,QB13,112.1,134,21,C.J. Anderson,,RB13,29.6,34,123,Martellus Bennett,,TE13,131,138,32,Brandin Cooks,,WR13,23.9,26
110,Jameis Winston,,QB14,113.3,193,23,Latavius Murray,,RB14,34.1,55,132,Jason Witten,,TE14,142.4,174,35,T.Y. Hilton,,WR14,24.9,36
111,Kirk Cousins,,QB15,113.6,133,26,Thomas Rawls,,RB15,39.1,27,135,Eric Ebron,,TE15,139.56,140,36,Keenan Allen,,WR15,26.9,31
115,Tony Romo,,QB16,116.6,132,27,Carlos Hyde,,RB16,39.8,33,150,Jimmy Graham,,TE16,161.7,139,37,Sammy Watkins,,WR16,29.4,24
122,Matthew Stafford,,QB17,125.9,170,30,Jeremy Hill,,RB17,45.8,41,152,Zach Miller,,TE17,159.11,137,38,Demaryius Thomas,,WR17,33.5,30
125,Marcus Mariota,,QB18,129.4,169,33,Matt Forte,,RB18,47,40,153,Clive Walford,,TE18,155.5,209,48,Randall Cobb,,WR18,40.3,43
126,Andy Dalton,,QB19,132.1,171,34,Jonathan Stewart,,RB19,50.3,32,164,Charles Clay,,TE19,165,197,50,Jeremy Maclin,,WR19,40.4,42
128,Matt Ryan,,QB20,140.7,225,39,Frank Gore,,RB20,55,66,167,Ladarius Green,,TE20,161.75,227,52,Jarvis Landry,,WR20,44.5,39
133,Ryan Tannehill,,QB21,136.56,195,40,DeMarco Murray,,RB21,55.5,57,177,Will Tye,,TE21,161.6,258,53,Eric Decker,,WR21,45.3,44
